"","Argentina","Developing Asia","Australia","Austria","Belgium","Bulgaria","Bahrain","Belarus","Brazil","Canada","Switzerland","Chile","China","Colombia","Cyprus","Czech Republic","Germany","Developing Countries","Denmark","Dominican Republic","Algeria","East Asia & Pacific developing","Europe & Central Asia developing","Ecuador","Egypt, Arab Rep.","Spain","Estonia","Finland","France","United Kingdom","Greece","High Income Countries","Hong Kong SAR, China","Croatia","Hungary","High income: OECD","India","Ireland","Iceland","Israel","Italy","Jordan","Japan","Kazakhstan","Korea, Rep.","Latin America & Caribbean developing","Low-Income Countries (LIC)","Sri Lanka","Lithuania","Luxembourg","Latvia","Morocco","Moldova, Rep.","Mexico","Middle-Income Countries (MIC)","North Macedonia","Malta","Middle East & N. Africa developing","Netherlands","Norway","New Zealand","High Income: Non-OECD","Pakistan","Peru","Philippines","Poland","Portugal","Romania","Russian Federation","South Asia developing","Saudi Arabia","Singapore","Sub-Saharan Africa developing","Slovakia","Slovenia","Sweden","Thailand","Tunisia","Turkey","Taiwan, China","Uruguay","United States","Venezuela, RB","Vietnam","World (WBG members)","South Africa"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1990","NA","NA","6.943297","5.373002","6.55026","NA","NA","NA","NA","8.15","0.501328","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","NA","NA","NA","NA","15.48333","0.65","3.103129","7.625","7.091667","NA","6.075007","1.318874","NA","NA","5.684896","NA","13.41667","NA","NA","NA","NA","2.108117","NA","NA","NA","NA","15.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5.783333","7.984591","NA","3.13","NA","NA","3.441667","NA","NA","NA","NA","NA","NA","NA","NA","NA","2.239701","NA","NA","NA","1.658333","NA","5.616667","NA","NA","NA","NA"
"1991","NA","NA","9.614137","5.823096","6.439812","NA","NA","NA","NA","10.31667","1.090451","NA","NA","NA","NA","NA","4.864885","NA","NA","NA","25","NA","NA","NA","NA","15.51667","1.475","6.666424","7.8","8.825","NA","7.320253","1.74954","NA","NA","6.848585","NA","14.73333","NA","NA","NA","NA","2.099018","NA","NA","NA","NA","14.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6.041667","10.61144","NA","6.28","NA","10.475","9.008333","NA","NA","NA","NA","NA","1.75","NA","7.05","NA","4.005607","NA","NA","NA","1.533333","NA","6.85","NA","NA","NA","NA"
"1992","NA","NA","10.75008","5.941711","7.088092","13.235","NA","NA","NA","11.21667","2.563105","NA","NA","NA","NA","NA","5.764563","NA","NA","NA","27","NA","NA","NA","NA","17.06667","3.725","11.79683","8.65","9.966667","NA","8.316395","1.947085","NA","NA","7.782143","NA","15.4","NA","NA","NA","NA","2.151389","NA","NA","NA","NA","14.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6.55","10.64473","NA","5.85","NA","9.85","12.93333","NA","5.45","NA","NA","NA","1.8","NA","11.31833","11.56667","7.110956","NA","NA","NA","1.5","NA","7.491667","NA","NA","NA","NA"
"1993","NA","NA","10.86617","6.811381","8.61913","15.85583","NA","NA","NA","11.375","4.516116","NA","NA","NA","NA","4.325","6.93137","NA","NA","NA","23.2","NA","NA","NA","NA","20.83333","6.55","16.38421","9.65","10.4","NA","8.855736","1.980375","NA","NA","8.289259","NA","15.63333","NA","NA","NA","19.7","2.503291","NA","NA","NA","NA","13.8","4.191667","NA","4.658333","NA","NA","NA","NA","NA","NA","NA","NA","6.608333","9.800159","NA","4.73","NA","9.35","15.03333","NA","9.208333","NA","NA","NA","1.675","NA","12.855","14.575","11.14689","NA","NA","NA","1.425","NA","6.908333","NA","NA","NA","NA"
"1994","NA","NA","9.705695","6.54548","9.753554","14.06583","NA","NA","NA","10.39167","4.718465","NA","NA","NA","NA","4.283333","7.340639","NA","NA","NA","24.4","NA","NA","NA","NA","22.05","7.55","16.53442","10.25","9.5","NA","8.704079","1.910873","NA","NA","8.144552","NA","14.35","NA","NA","NA","15.8","2.890953","NA","NA","NA","NA","13.1","3.625","NA","6.358333","NA","NA","NA","NA","NA","NA","NA","NA","6","8.342465","NA","4.84","NA","9.55","16.50833","NA","10.975","7.00654","NA","NA","1.725","NA","14.62917","14.55","10.76619","NA","NA","NA","1.566667","NA","6.1","NA","NA","NA","NA"
"1995","NA","NA","8.471058","6.589767","9.674164","11.38583","NA","NA","NA","9.466667","4.232892","NA","NA","NA","NA","4.041667","7.091997","NA","NA","NA","28.1","NA","9.298682","NA","NA","20.79167","9.75","15.42648","9.675","8.658333","NA","8.178946","3.039959","NA","NA","7.630402","NA","12.28333","NA","NA","NA","15.3","3.153574","NA","NA","NA","NA","12.3","6.116667","2.600765","6.35","NA","NA","NA","NA","NA","NA","NA","NA","5.441667","6.451948","NA","5.37","NA","9.5","15.225","7.150996","9.975","8.308334","NA","NA","1.725","NA","13.68083","14.04167","10.42139","NA","NA","NA","1.808333","NA","5.591667","NA","NA","NA","NA"
"1996","NA","NA","8.516425","7.033851","9.544254","11.06167","NA","NA","NA","9.608333","4.665679","NA","NA","NA","NA","3.891667","7.744785","NA","NA","NA","28","NA","9.8878","NA","NA","19.90833","9.95","14.58738","10.125","8.116667","NA","8.102148","2.856166","NA","NA","7.554887","NA","11.65","NA","NA","NA","12.8","3.350839","NA","NA","NA","NA","11.3","7.133333","2.83464","7.025","NA","NA","NA","NA","NA","NA","NA","NA","4.791667","6.305462","NA","5.37","NA","8.55","14.3","7.25532","7.775","9.268224","NA","NA","1.65","NA","12.605","13.91667","10.90169","NA","NA","NA","2.6","NA","5.408333","NA","NA","NA","NA"
"1997","NA","NA","8.363718","7.103283","9.213055","14.04583","NA","NA","NA","9.091667","5.201972","NA","NA","NA","NA","4.783333","8.564601","NA","NA","NA","28","NA","11.40801","NA","NA","18.4","9.65","12.6308","10.3","6.983333","NA","7.667351","2.237825","NA","NA","7.155536","NA","9.858333","NA","NA","NA","14.4","3.403121","NA","NA","NA","NA","10.5","5.908333","3.048674","7.475","NA","NA","NA","NA","NA","NA","NA","NA","3.9","6.834242","NA","6.12","NA","8.725","11.50833","6.752381","7.508333","10.82706","NA","NA","1.425","NA","12.91417","14.41667","10.88338","NA","NA","NA","2.725","11.55833","4.941667","NA","NA","NA","NA"
"1998","NA","NA","7.651377","7.184796","9.338434","12.20333","NA","NA","NA","8.291667","3.840284","NA","NA","NA","NA","6.475","8.107018","NA","NA","NA","28","NA","12.49687","NA","NA","16.40833","9.825","11.35479","9.875","6.266667","NA","7.214791","4.360939","NA","NA","6.703397","NA","7.55","NA","NA","NA","14.4","4.114412","NA","NA","NA","NA","9.2","6.408333","2.829094","7.575","NA","NA","NA","NA","NA","NA","NA","NA","3.1","7.733373","NA","5.89","NA","10.075","10.00833","4.992787","9.275","11.87585","NA","NA","2.575","NA","13.825","14.48333","8.816634","NA","NA","NA","2.7","10.125","4.5","NA","NA","NA","NA"
"1999","NA","NA","6.869885","6.645249","8.409715","13.7825","NA","NA","NA","7.566667","2.713548","NA","NA","NA","NA","8.7","7.482217","NA","NA","NA","29.2","NA","13.87503","NA","NA","13.6","12.25","10.19669","9.575","5.983333","NA","6.99559","6.254886","18.63333","6.925","6.461029","NA","5.8","NA","NA","NA","11.6","4.683277","NA","NA","NA","NA","8.9","8.383333","2.656169","9.683333","NA","NA","NA","NA","NA","NA","NA","NA","3.041667","7.014643","NA","5.89","NA","9.775","11.99167","4.378613","11.39167","13.02649","NA","4.351138","2.8","NA","17.49083","13.56667","7.565055","NA","NA","NA","2.925","11.2","4.216667","14.50367","NA","NA","NA"
"2000","NA","NA","6.273074","5.803798","6.874202","18.12917","NA","NA","NA","6.833333","1.817696","NA","3.000531","NA","4.85","8.758333","6.874591","NA","NA","NA","29.5","NA","11.8006","NA","NA","11.91667","14.575","9.774098","8.175","5.45","NA","6.62896","5.119731","20.6","6.375","6.080332","NA","4.483333","NA","NA","NA","13.9","4.714846","NA","4.391667","NA","NA","7.6","11.53333","2.381169","8.408333","NA","8.495868","NA","NA","NA","NA","NA","NA","3.241667","6.143326","NA","7.82","NA","11.2","14.025","3.997374","11.2","10.55905","NA","4.571755","2.6","NA","18.265","12.18333","6.333988","NA","NA","NA","3","13.4","3.966667","13.98188","NA","NA","NA"
"2001","NA","NA","6.765134","6.094126","6.590027","17.50833","NA","NA","NA","7.225","1.700255","NA","3.250111","14.98406","3.916667","8.116667","6.90132","NA","NA","NA","27.3","3.590673","10.03879","NA","NA","10.575","13","9.133711","7.4","5.083333","NA","6.870717","4.922822","21.51667","5.7","6.305157","NA","4.183333","NA","NA","NA","14.7","5.039315","10.475","3.983333","NA","NA","7.9","12.53333","2.199104","7.808333","NA","7.306554","NA","NA","NA","6.422907","NA","NA","3.433333","5.452826","NA","7.82","NA","11.15","16.21667","4.072183","8.991667","8.95003","NA","4.621904","2.675","NA","18.26667","11.55833","5.833852","3.326667","NA","NA","4.561667","15.19167","4.741667","13.3524","NA","NA","26.05535"
"2002","22.42537","NA","6.358194","6.871619","7.528052","17.42667","NA","NA","NA","7.666667","2.550812","NA","3.851395","15.6013","3.516667","7.291667","7.666133","NA","NA","NA","25.9","4.09369","9.334182","NA","NA","11.46667","11.225","9.070984","7.525","5.175","NA","7.598985","7.227346","21.78333","5.8","6.968748","NA","4.716667","NA","NA","NA","15.3","5.373721","9.366667","3.258333","NA","NA","8.8","11.34167","2.481716","8.883333","NA","6.876269","NA","NA","NA","6.956842","NA","NA","3.683333","5.307234","NA","8.27","9.403925","11.375","19.71667","5.067086","10.18333","8.058248","NA","5.27082","3.575","27.84063","17.80833","11.59167","5.959874","2.419167","NA","NA","5.171667","16.75","5.783333","16.22997","NA","7.269734","27.84063"
"2003","17.21658","NA","5.931701","7.014325","8.185247","14.25917","NA","NA","NA","7.575","3.699937","NA","4.201358","14.08814","4.108333","7.808333","8.770691","NA","NA","NA","23.7","4.392111","9.042334","NA","10.41441","11.49167","10.35","9.006999","8.125","5.008333","NA","7.601103","7.920709","19.075","5.85","7.18967","NA","4.85","3.342336","NA","NA","14.5","5.252234","8.791667","3.566667","NA","NA","8.1","10.275","3.285669","8.625","NA","8.025994","NA","NA","NA","7.556807","NA","6.17494","4.225","4.77781","11.90182","8.27","9.447517","11.375","19.91667","6.245888","7.558333","8.243035","NA","5.558241","4","27.56712","15.18167","11.175","6.583428","2.179167","NA","NA","4.995","17.15","5.991667","18.07434","NA","7.375457","27.56712"
"2004","13.62201","NA","5.395828","7.067989","8.39002","12.67","NA","NA","NA","7.158333","3.877499","NA","4.250931","13.6343","4.616667","8.325","9.18157","NA","NA","NA","17.7","4.456058","8.444645","NA","10.74916","10.975","10.125","8.803887","8.5","4.75","10.60067","7.240468","6.882274","17.775","6.075","6.977332","NA","4.75","3.013699","NA","8.009609","12.5","4.714356","8.391667","3.65","NA","NA","8.1","6.816667","3.684507","8.75","NA","8.133579","NA","NA","37.15246","7.184147","12.91895","7.137414","4.291667","4.023828","10.04101","7.69","9.447938","11.85","19.5","6.648133","6.75","7.735645","NA","5.815327","3.375","25.09258","14.24167","10.59167","7.382242","2.075833","NA","NA","4.419167","13.34167","5.541667","14.99686","NA","7.084949","25.09258"
