"","United Arab Emirates","Argentina","Australia","Austria","Belgium","Bulgaria","Bahrain","Bosnia and Herzegovina","Brazil","Canada","Switzerland","Chile","China","Colombia","Czech Republic","Germany","Developing Countries","Denmark","Egypt, Arab Rep.","Spain","Estonia","Finland","France","United Kingdom","Greece","High Income Countries","Hong Kong SAR, China","Croatia","Hungary","Indonesia","India","Ireland","Iran, Islamic Rep.","Iceland","Israel","Italy","Jordan","Japan","Kazakhstan","Kenya","Korea, Rep.","Latin America & Caribbean developing","Lebanon","Sri Lanka","Lithuania","Luxembourg","Latvia","Morocco","Mexico","North Macedonia","Malta","Malawi","Malaysia","Nigeria","Netherlands","Norway","New Zealand","Oman","Pakistan","Peru","Philippines","Poland","Portugal","Qatar","Romania","Russian Federation","Saudi Arabia","Singapore","Slovakia","Slovenia","Sweden","Thailand","Tunisia","Turkey","Taiwan, China","Uganda","Ukraine","United States","Venezuela, RB","Vietnam","South Africa"
"2000","NA","21.45833","41.63047","28.07375","76.22327","15.20993","101.0072","NA","23.09659","58.41466","72.03045","NA","NA","NA","22.17138","78.71301","43.71059","50.00281","NA","53.40149","19.66694","146.7066","92.24469","103.2712","130.7515","113.4837","74.60434","24.6558","26.55564","21.87221","27.41437","112.9497","118.4326","NA","43.88901","127.9423","25.74667","136.1668","5.866441","NA","277.9738","25.60555","27.21125","21.19876","21.82948","80.11474","26.44346","NA","28.20418","NA","65.84873","NA","58.00769","42.78347","128.1269","30.93336","NA","45.11348","NA","8.146842","54.91231","52.75847","92.75568","16.10841","14.56247","13.50771","34.15793","58.70709","22.32381","NA","89.1968","39.20224","29.2784","63.47874","100.0078","NA","13.10554","102.518","NA","34.61077","NA"
"2001","NA","15.6","37.80406","27.92258","69.96057","13.33601","88.79888","NA","15.86677","44.97797","64.97289","NA","NA","6.891227","16.75315","60.08873","31.56985","46.18667","NA","43.86198","17.42818","81.59134","72.38201","86.33995","83.09095","90.76241","58.46543","27.50757","20.50718","14.06521","19.66309","117.4408","158.3047","NA","33.55969","98.9266","26.54571","85.19385","5.610376","NA","117.0038","21.66101","20.13774","16.23489","17.76133","51.45653","35.64091","NA","26.22498","NA","44.60421","NA","43.95293","59.8441","101.7532","28.37614","NA","37.55657","NA","6.815663","40.06294","38.12487","65.58553","18.47608","12.84071","13.07972","37.44849","44.99567","26.86384","NA","55.46058","31.01358","27.09761","23.86084","57.40929","NA","12.22603","97.30585","NA","77.20752","NA"
"2002","NA","17.03334","38.8739","30.06042","62.99667","21.52815","92.03303","NA","10.78907","40.21192","57.84039","NA","NA","8.357663","20.86339","46.72807","31.97653","40.05094","NA","39.22168","24.66976","66.0624","59.28222","74.45201","66.61714","75.43339","48.6263","35.3217","25.69131","17.22318","17.85193","100.8073","81.43429","NA","26.959","79.30472","31.60555","69.00947","5.759744","NA","111.1181","18.63981","18.2248","23.66116","19.84185","37.28372","42.55594","22.59535","27.16842","NA","35.61104","NA","48.92614","65.20742","81.98103","25.97688","NA","37.61836","NA","6.692437","35.59385","35.60361","51.96629","27.44816","21.3009","21.54266","41.63968","43.06437","32.39058","NA","44.74022","38.77151","24.5742","19.94833","59.77165","NA","13.02482","88.11217","NA","46.82833","26.17536"
"2003","NA","31.23999","45.01805","39.87157","62.2896","57.93172","100.7669","NA","12.37518","45.79351","56.79165","24.46407","NA","11.59195","30.77349","43.34459","34.58518","47.75898","NA","45.87035","41.28708","68.32111","60.00255","72.44655","71.16579","73.87881","47.83816","40.63098","31.87007","21.14442","22.1214","112.9783","78.12441","NA","31.12413","84.74297","37.04963","68.88754","6.677155","NA","81.92392","19.96231","19.22186","33.27873","37.67326","39.62838","62.70338","26.98946","26.23981","NA","41.83714","NA","48.50539","78.93247","71.94023","27.13751","77.74868","49.37443","NA","9.999425","33.24556","39.86435","55.60659","40.49666","31.53279","29.98019","55.70102","41.73902","54.58557","47.97479","48.17627","53.17287","26.40451","22.36419","58.89343","NA","14.68479","85.88855","NA","36.39025","32.05762"
"2004","NA","47.17606","58.96969","66.37044","88.58039","106.4626","123.118","NA","19.872","59.29829","71.49113","34.34218","NA","21.4521","50.17677","59.24694","46.57689","66.89833","NA","61.41565","64.0972","80.70458","78.59846","92.26598","99.70215","90.17463","60.10519","50.31","49.63298","31.57137","32.73899","155.6531","123.1151","NA","43.77948","105.9062","54.73473","88.2237","10.93834","NA","73.549","28.67076","24.29119","42.93001","66.99313","55.00121","93.41261","34.61712","37.32257","33.43185","62.22942","12.25025","58.55753","126.3578","88.05891","43.18868","104.077","70.15481","NA","16.8511","43.30363","56.49805","75.96076","59.25305","55.55492","42.56018","95.70882","54.94408","77.97672","74.02702","67.89042","74.99791","30.91455","37.72474","71.09287","50.47136","33.96969","98.53079","NA","55.32391","46.32004"
"2005","NA","63.6547","73.40358","99.87017","110.4121","161.407","162.488","NA","29.61215","74.78331","81.54975","47.91747","31.62067","44.41961","81.04111","69.34924","59.75057","86.50611","NA","75.51322","109.8327","94.33137","92.3884","105.1329","128.5733","100.0891","66.85259","76.30765","80.79265","39.76146","44.49155","186.2659","111.0005","NA","54.01088","123.5754","124.9628","96.01747","20.5492","NA","109.3798","42.34118","38.85807","64.04018","124.4724","68.19248","139.6034","38.4288","52.61473","60.53708","85.57698","NA","62.49954","118.4893","99.70801","62.01534","122.6177","100.9503","NA","25.03886","54.26728","78.10585","80.97285","132.4325","111.4315","55.06177","201.9019","65.08399","159.2531","77.26692","80.95365","78.11018","33.82983","58.91499","74.55041","81.60951","81.95722","100.7299","NA","60.6327","62.42404"
"2006","261.1364","74.62035","86.26591","133.3015","136.5499","193.5557","154.5504","NA","45.48984","94.45102","101.7302","56.1603","43.46857","71.5345","101.6335","88.57495","79.62937","104.3125","73.66847","95.59944","123.7312","119.2823","113.6601","124.6929","164.7089","114.8648","78.80071","111.5421","91.29277","55.10765","67.24087","229.8305","89.9857","NA","66.14943","144.1828","119.9291","118.3514","104.3218","NA","138.4903","61.57135","68.98988","71.35988","129.1421","102.0029","171.9242","63.49989","76.33225","102.9595","127.7895","NA","68.27901","148.179","121.3184","85.08938","119.7483","92.34552","179.0543","49.03438","70.01412","113.328","103.3042","102.0224","156.9771","111.3183","204.092","78.18547","148.6689","104.4483","104.0081","86.30018","43.7564","75.70282","82.75994","110.1952","106.4945","108.9524","NA","115.4305","84.68823"
"2007","261.4862","92.00042","117.791","170.4043","168.113","336.2627","169.7547","NA","71.77117","114.198","118.2944","80.76467","120.5495","87.71157","136.2163","122.5456","107.4251","141.2953","104.2301","128.3763","177.626","162.2025","140.2432","148.0134","219.5316","133.3843","107.7316","206.0751","121.2277","84.30147","100.7199","273.0046","89.74891","NA","89.24749","170.1721","110.4188","123.1531","165.8596","NA","164.5457","90.01926","60.8762","77.90235","176.401","146.0249","210.0064","107.6446","108.8603","243.1559","124.9263","NA","99.95147","261.8005","149.4506","117.1649","149.3662","115.2911","213.276","116.6296","112.7953","152.1888","142.364","98.5975","217.9645","152.1659","128.331","110.96","169.999","207.0346","135.6021","101.1302","58.22892","101.0252","101.6828","130.046","238.5384","125.773","NA","230.8412","108.1348"
"2008","274.4236","75.43766","98.45246","135.3062","129.6283","247.2101","181.4389","NA","81.6309","106.6188","101.6192","72.59443","94.44165","78.54537","126.1207","109.9061","96.18914","118.3476","122.7335","108.6388","115.338","133.4444","113.946","114.357","166.8366","110.0649","97.2734","168.5548","100.2082","78.48741","90.07865","168.095","97.02949","NA","85.52484","129.6527","152.1938","99.85506","137.5656","146.897","107.1108","92.52098","84.29602","68.97718","141.0502","137.0443","157.898","131.3378","98.2512","194.1164","113.618","123.5017","90.90172","300.4738","121.8969","103.5849","110.9098","165.3792","166.2801","89.1454","90.41932","128.1259","112.9218","138.8328","137.552","136.9013","132.8178","93.02284","186.911","174.4737","100.8027","94.45142","70.33258","80.06374","88.84174","139.3329","186.1478","107.4622","NA","112.9058","90.11039"
"2009","106.6436","69.38999","73.60899","80.66908","83.35619","86.50294","106.5594","112.0967","70.79969","80.62024","82.92354","72.77789","86.67704","77.20455","79.82034","84.0485","76.78859","81.93243","86.50547","83.96427","69.3305","84.39305","83.27729","81.92638","100.288","83.80092","84.24542","85.2981","69.47849","68.96739","75.22021","87.30503","85.75299","95.62902","71.12687","85.23101","104.1333","85.38331","62.69666","85.88534","79.67671","74.57811","78.20144","65.8617","74.24382","74.18258","80.92773","98.51982","75.62783","88.60778","79.48873","103.533","80.52694","106.9129","79.69672","70.58491","80.75041","96.53807","81.28465","75.67048","78.68357","74.61712","85.23066","92.42727","67.15886","62.7274","89.08882","76.81136","129.6691","94.86562","78.10133","77.37459","77.96128","66.13781","76.46217","89.16151","68.10577","84.76696","NA","88.08797","76.32392"
